YMD,Location,ID,DayorNight,Temperature,Humidity,T_Difference,H_Difference,Tw,Tw_Difference
2022-08-19,1,515,D,31.13166667,47.81216667,1.866666667,-4.462166667,22.85504503,0.820447283
2022-08-19,1,515,N,23.57,64.89166667,-2.333333333,3.825,18.90262696,-1.571019099
2022-08-19,1,746,D,28.67083334,55.67155556,-0.943055556,7.576,22.05952439,0.47365848
2022-08-19,1,746,N,25.19,64.70333333,0.665,2.375,20.35833448,0.947104477
2022-08-19,1,1708,D,29.58816667,55.27216667,-0.67225,6.468,22.83639284,0.548337158
2022-08-19,1,1708,N,23.03833333,69.61,-2.038333333,9.573333333,19.05783654,-0.519113705
2022-08-19,2,515,D,29.30113333,54.18553333,0.036133333,1.9112,22.39580179,0.361204039
2022-08-19,2,515,N,24.50166667,64.84,-1.401666667,3.773333333,19.74809447,-0.725551593
2022-08-19,2,746,D,27.68388889,54.56541667,-1.93,6.469861111,21.00933159,-0.576534315
2022-08-19,2,746,N,22.09166667,72.085,-2.433333333,9.756666667,18.50346826,-0.907761741
2022-08-19,2,1708,D,28.32483333,57.58766667,-1.935583333,8.7835,22.08973348,-0.1983222
2022-08-19,2,1708,N,24.15,67.21833333,-0.926666667,7.181666667,19.75952208,0.182571837
2022-08-19,3,515,D,27.8882,53.25873333,-1.3768,0.9844,21.00548718,-1.029110569
2022-08-19,3,515,N,24.92166667,60.99833333,-0.981666667,-0.068333333,19.57790374,-0.895742321
2022-08-19,3,746,D,28.10805556,55.51083333,-1.505833333,7.415277778,21.54841845,-0.037447458
2022-08-19,3,746,N,25.36166667,63.17,0.836666667,0.841666667,20.29268419,0.881454192
2022-08-19,3,1708,D,28.27891667,55.08658333,-1.9815,6.282416667,21.6495828,-0.638472887
2022-08-19,3,1708,N,23.76166667,65.22833333,-1.315,5.191666667,19.12497071,-0.451979529
2022-08-20,1,380,D,31.11541667,45.76166667,-0.075083331,-2.509583334,22.44878814,-0.518318085
2022-08-20,1,380,N,24.02833333,54.43,-2.761666667,-0.12833333,17.82242411,-2.444374328
2022-08-20,1,515,D,33.214375,42.700625,2.250208333,-4.960416667,23.58962505,0.931846102
2022-08-20,1,515,N,22.40966667,71.05,-1.686666667,2.826333333,18.65411952,-1.133604821
2022-08-20,1,746,D,30.11111111,52.83638889,-2.315,5.535833334,22.82460687,-1.081208171
2022-08-20,1,746,N,23.37633333,72.25133333,-0.416333333,4.982,19.71349199,0.318344204
2022-08-20,1,1708,D,30.47833333,51.8075,-0.415277778,4.513888889,22.97557618,0.526689788
2022-08-20,1,1708,N,21.81433333,75.95233333,-1.252666667,7.290666667,18.73208579,-0.189289257
2022-08-20,2,66,D,31.62666667,45.25222222,-0.05,-0.179444444,22.80353291,-0.077518314
2022-08-20,2,66,N,25.36333333,58.26333333,-1.426666667,3.705,19.57146019,-0.695338251
2022-08-20,2,333,D,31.115,49.24,-1.89,6.379166667,23.11600776,-0.364930894
2022-08-20,2,333,N,25.99,57.49166667,-1.118333333,7.025,20.01361711,0.126435308
2022-08-20,2,335,D,31.80833333,43.83666667,-1.635666667,3.814666667,22.68461469,-0.569211992
2022-08-20,2,335,N,26.06666667,53.03833333,-0.748333333,2.976666667,19.39504422,-0.173574566
2022-08-20,2,380,D,29.70166667,50.21083333,-1.488833331,1.939583333,22.06659927,-0.90050695
2022-08-20,2,380,N,25.02833333,57.875,-1.761666667,3.31666667,19.21508756,-1.051710877
2022-08-20,2,515,D,30.07861111,53.27944445,0.569666667,0.403083333,22.86421964,0.619024132
2022-08-20,2,515,N,22.72833333,71.96733333,-1.368,3.743666666,19.07545103,-0.712273306
2022-08-20,2,746,D,29.36194444,54.02694444,-3.064166666,6.726388889,22.34962281,-1.556192223
2022-08-20,2,746,N,22.80541667,74.11833334,-0.375833333,3.714166667,19.43914843,0.147454699
2022-08-20,2,1708,D,28.78972222,55.60694444,-2.103888889,8.313333334,22.09995733,-0.348929064
2022-08-20,2,1708,N,23.16233333,71.49033333,0.095333333,2.828666667,19.41085753,0.489482483
2022-08-20,3,66,D,29.66688889,47.51422222,-2.009777778,2.082555556,21.5695417,-1.311509532
2022-08-20,3,66,N,25.29833333,57.71166667,-1.491666667,3.153333333,19.43126096,-0.835537485
2022-08-20,3,333,D,30.17583334,44.78666667,-2.829166667,1.925833334,21.50137353,-1.979565124
2022-08-20,3,333,N,26.18833333,52.64666667,-0.92,2.18,19.43967421,-0.447507595
2022-08-20,3,335,D,30.01333333,50.12333333,-3.430666667,10.10133333,22.33003256,-0.923794121
2022-08-20,3,335,N,26.55,55.82666667,-0.265,5.765,20.25401919,0.685400402
2022-08-20,3,380,D,29.27875,51.98416667,-1.911749998,3.712916667,22.00861865,-0.95848758
2022-08-20,3,380,N,25.96833333,57.39833333,-0.821666667,2.840000003,19.98016724,-0.286631206
2022-08-20,3,515,D,28.64666667,52.23527778,-0.862277778,-0.641083333,21.43387818,-0.811317336
2022-08-20,3,515,N,23.63466667,66.983,-0.461666667,-1.240666667,19.23761507,-0.550109267
2022-08-20,3,746,D,29.23583333,56.02916667,-3.190277777,8.728611111,22.59948257,-1.306332466
2022-08-20,3,746,N,23.605,70.94,-0.187666667,3.670666666,19.74629193,0.351144135
2022-08-20,3,1708,D,28.32166667,54.1275,-2.571944444,6.833888889,21.47000567,-0.978880727
2022-08-20,3,1708,N,22.89533333,69.56666667,-0.171666666,0.905,18.89925166,-0.022123379
2022-08-21,1,380,D,31.30277778,49.44222222,-0.163333332,-6.111111108,23.31365312,-1.228624529
2022-08-21,1,380,N,23.92,56.785,-1.15333333,-6.226666665,18.06947256,-1.935218544
2022-08-21,1,515,D,30.34555556,59.59986111,1.107361111,-2.528888889,24.14700446,0.544592934
2022-08-21,1,515,N,22.81566666,73.895,-2.143666667,7.017999999,19.37268891,-1.019032359
2022-08-21,1,746,D,29.53166667,63.00555556,0.621944445,4.735277778,23.99933269,1.308609113
2022-08-21,1,746,N,22.57766667,76.334,-1.450666667,7.472333333,19.48154173,-0.324704442
2022-08-21,1,1708,D,29.74777778,62.2225,-0.656111111,6.266111111,24.04401022,0.469112599
2022-08-21,1,1708,N,23.639,70.677,-0.781333333,6.674666667,19.69368533,0.207061357
2022-08-21,2,66,D,28.37055556,64.57944445,-1.304166667,3.738888889,23.18394435,-0.582528587
2022-08-21,2,66,N,23.31033333,73.683,-0.554666667,0.783333333,19.81845322,-0.406144572
2022-08-21,2,333,D,29.07444444,65.30777778,-1.112222222,8.187222222,23.96017761,0.350805652
2022-08-21,2,333,N,23.97266667,72.00566667,-0.660666667,7.339666667,20.19722987,0.448282915
2022-08-21,2,335,D,29.23972222,60.63222222,-1.011111111,4.211666667,23.36504259,-0.188570105
2022-08-21,2,335,N,24.15133333,67.21566667,-0.264,3.523333333,19.68922394,0.269722714
2022-08-21,2,380,D,28.44527778,63.35222222,-1.229444444,2.511666667,23.08497843,-0.681494513
2022-08-21,2,380,N,23.18733333,73.42233333,-0.677666667,0.522666667,19.66666114,-0.557936651
2022-08-21,2,515,D,29.13777778,64.23833333,-0.100416667,2.109583333,23.84880064,0.24638912
2022-08-21,2,515,N,23.283,73.65133333,-1.676333333,6.774333333,19.78717533,-0.60454593
2022-08-21,2,746,D,28.96222222,63.51138889,0.0525,5.241111111,23.59125458,0.900531
2022-08-21,2,746,N,21.50916667,80.71875,-2.147083333,9.062916666,19.05974984,-0.79264921
2022-08-21,2,1708,D,28.47861111,65.32638889,-1.925277778,9.369999999,23.42538316,-0.14951446
2022-08-21,2,1708,N,24.02733333,70.12533333,-0.393,6.123,19.97841933,0.491795355
2022-08-21,3,66,D,27.6025,65.7575,-2.072222222,4.916944445,22.67711615,-1.089356791
2022-08-21,3,66,N,23.321,72.71066667,-0.544,-0.189,19.68989876,-0.534699032
2022-08-21,3,333,D,28.28583333,62.26916667,-1.900833333,5.148611111,22.76436895,-0.845003011
2022-08-21,3,333,N,24.104,67.48766667,-0.529333333,2.821666667,19.68765074,-0.061296209
2022-08-21,3,335,D,28.11366667,66.46733333,-2.154333333,9.585999999,23.26559747,-0.36766111
2022-08-21,3,335,N,24.21666667,68.843,-0.198666667,5.150666667,19.99999453,0.5804933
2022-08-21,3,380,D,27.83194445,65.42888889,-1.842777777,4.588333334,22.85324835,-0.913224593
2022-08-21,3,380,N,23.602,72.527,-0.263,-0.372666666,19.92912108,-0.295476716
2022-08-21,3,515,D,28.34888889,62.83861111,-0.889305556,0.709861111,22.9244286,-0.677982923
2022-08-21,3,515,N,24.035,69.28966666,-0.924333333,2.412666667,19.85977736,-0.531943904
2022-08-21,3,746,D,28.32444444,67.12083333,-0.585277778,8.850555555,23.57338414,0.882660557
2022-08-21,3,746,N,22.88,75.103,-1.148333333,6.241333333,19.60157291,-0.204673263
2022-08-21,3,1708,D,27.8225,64.45777778,-2.581388889,8.501388889,22.66882691,-0.906070708
2022-08-21,3,1708,N,24.036,67.207,-0.384333333,3.204666667,19.55069999,0.064076018
2022-08-22,1,407,D,27.90583333,66.74166667,-0.26,0.2325,23.14882022,-0.205129215
2022-08-22,1,407,N,22.43166667,89.565,-0.281666667,1.546666667,21.10852254,-0.075499491
2022-08-22,1,515,D,29.04611111,74.36444444,0.812777778,5.914444444,25.36640195,1.65353568
2022-08-22,1,515,N,20.954,97.773,-1.111333333,6.577666667,20.68136279,-0.271949305
2022-08-22,1,600,D,27.31666667,73.68888889,-0.477777778,1.730555556,23.62368577,-0.192098029
2022-08-22,1,600,N,22.69666667,88.93833333,-0.256666667,1.71,21.28761982,-0.02813253
2022-08-22,1,746,D,27.90944444,82.75722223,0.708611111,2.905833334,25.51588831,1.10459135
2022-08-22,1,746,N,21.15733333,98.55833333,-0.606333333,2.366,20.98976892,-0.304372513
2022-08-22,1,1708,D,27.82,71.15388889,-1.112777778,3.053888889,23.73265486,-0.549754045
2022-08-22,1,1708,N,21.245,95.95166667,-0.289666667,1.868666667,20.74594013,-0.049853266
2022-08-22,1,1946,D,29.19277778,64.81133333,0.641444444,2.230222222,24.0222665,0.928676665
2022-08-22,1,1946,N,22.575,86.55666667,-0.23,0.66,20.85813065,-0.138289692
2022-08-22,2,66,D,27.47166667,71.15916667,-0.916944445,3.026111111,23.39725382,-0.407391633
2022-08-22,2,66,N,21.57266667,93.11533333,-0.333,-1.808666667,20.70413894,-0.563170571
2022-08-22,2,333,D,27.59055556,72.31194444,-0.860555555,3.272222222,23.68906805,-0.309791952
2022-08-22,2,333,N,21.54266667,95.48633333,-0.003333333,0.882333333,20.9791902,0.111327933
2022-08-22,2,335,D,27.4,69.945,-1.581944444,4.628611111,23.15909247,-0.746305589
2022-08-22,2,335,N,21.55866667,93.27,0.149666667,0.313666667,20.71242304,0.192108879
2022-08-22,2,380,D,26.86972222,72.43972222,-1.518888888,4.306666667,23.02184161,-0.78280384
2022-08-22,2,380,N,21.39733333,90.008,-0.508333333,-4.916,20.13325992,-1.134049592
2022-08-22,2,407,D,27.22916667,69.98833334,-0.936666667,3.479166667,23.01074946,-0.34319998
2022-08-22,2,407,N,22.63,87.97,-0.083333333,-0.048333333,21.09603566,-0.087986369
2022-08-22,2,515,D,26.84222222,75.3025,-0.7375,4.481944444,23.41943043,-0.033663614
2022-08-22,2,515,N,21.47633333,93.33333333,-0.589,2.138,20.64491266,-0.308399441
2022-08-22,2,600,D,26.08125,74.7825,-2.046666667,3.09125,22.61277581,-1.479096604
2022-08-22,2,600,N,22.86,85.56666667,-0.093333333,-1.661666667,21.00680725,-0.308945094
2022-08-22,2,746,D,26.34305556,79.86027778,-0.857777778,0.008888889,23.59193051,-0.819366454
